Number,Label,Length_px
9,FR_NTR1_C0_F_WING_17.tif,1177.714
10,FR_NTR1_C0_F_WING_18.tif,1191.794
11,FR_NTR1_C0_F_WING_19.tif,1196.112
12,FR_NTR1_C0_F_WING_2.tif,1218.236
13,FR_NTR1_C0_F_WING_20.tif,1209.992
14,FR_NTR1_C0_F_WING_3.tif,1214.02
15,FR_NTR1_C0_F_WING_4.tif,1227.857
16,FR_NTR1_C0_F_WING_5.tif,1235.772
17,FR_NTR1_C0_F_WING_6.tif,1255.582
18,FR_NTR1_C0_F_WING_7.tif,1213.557
19,FR_NTR1_C0_F_WING_8.tif,1169.403
20,FR_NTR1_C0_F_WING_9.tif,1191.121
21,FR_NTR1_C0_M_FEMUR_1.tif,293.825
22,FR_NTR1_C0_M_FEMUR_10.tif,270.601
23,FR_NTR1_C0_M_FEMUR_11.tif,317.416
24,FR_NTR1_C0_M_FEMUR_12.tif,350.373
25,FR_NTR1_C0_M_FEMUR_13.tif,303.31
26,FR_NTR1_C0_M_FEMUR_14.tif,293.205
27,FR_NTR1_C0_M_FEMUR_15.tif,315.571
28,FR_NTR1_C0_M_FEMUR_16.tif,302.2
29,FR_NTR1_C0_M_FEMUR_17.tif,311.313
30,FR_NTR1_C0_M_FEMUR_18.tif,320.315
31,FR_NTR1_C0_M_FEMUR_19.tif,315.52
32,FR_NTR1_C0_M_FEMUR_2.tif,273.306
33,FR_NTR1_C0_M_FEMUR_20.tif,291.734
34,FR_NTR1_C0_M_FEMUR_3.tif,320.899
35,FR_NTR1_C0_M_FEMUR_4.tif,310
36,FR_NTR1_C0_M_FEMUR_5.tif,6
37,FR_NTR1_C0_M_FEMUR_6.tif,324.137
38,FR_NTR1_C0_M_FEMUR_7.tif,306.57
39,FR_NTR1_C0_M_FEMUR_8.tif,316.405
40,FR_NTR1_C0_M_FEMUR_9.tif,321.025
21,FR_NTR1_C0_M_HEAD_1.tif,469.802
22,FR_NTR1_C0_M_HEAD_10.tif,471.785
23,FR_NTR1_C0_M_HEAD_11.tif,476.79
24,FR_NTR1_C0_M_HEAD_12.tif,472.137
25,FR_NTR1_C0_M_HEAD_13.tif,468.547
26,FR_NTR1_C0_M_HEAD_14.tif,452.762
27,FR_NTR1_C0_M_HEAD_15.tif,476.798
28,FR_NTR1_C0_M_HEAD_16.tif,447.824
29,FR_NTR1_C0_M_HEAD_17.tif,437.357
30,FR_NTR1_C0_M_HEAD_18.tif,481.981
31,FR_NTR1_C0_M_HEAD_19.tif,440.623
32,FR_NTR1_C0_M_HEAD_2.tif,464.419
33,FR_NTR1_C0_M_HEAD_20.tif,449.307
34,FR_NTR1_C0_M_HEAD_3.tif,461.239
35,FR_NTR1_C0_M_HEAD_4.tif,474.788
36,FR_NTR1_C0_M_HEAD_5.tif,439.51
37,FR_NTR1_C0_M_HEAD_6.tif,445.719
38,FR_NTR1_C0_M_HEAD_7.tif,457.28
39,FR_NTR1_C0_M_HEAD_8.tif,479.267
40,FR_NTR1_C0_M_HEAD_9.tif,436.505
21,FR_NTR1_C0_M_TARSUS_1.tif,104.69
22,FR_NTR1_C0_M_TARSUS_10.tif,104.235
23,FR_NTR1_C0_M_TARSUS_11.tif,92.65
24,FR_NTR1_C0_M_TARSUS_12.tif,103.576
25,FR_NTR1_C0_M_TARSUS_13.tif,119.503
26,FR_NTR1_C0_M_TARSUS_14.tif,98.311
27,FR_NTR1_C0_M_TARSUS_15.tif,95.016
28,FR_NTR1_C0_M_TARSUS_16.tif,95.21
29,FR_NTR1_C0_M_TARSUS_17.tif,93.236
30,FR_NTR1_C0_M_TARSUS_18.tif,105.475
31,FR_NTR1_C0_M_TARSUS_19.tif,103.247
32,FR_NTR1_C0_M_TARSUS_2.tif,90.427
33,FR_NTR1_C0_M_TARSUS_20.tif,102.903
34,FR_NTR1_C0_M_TARSUS_3.tif,101.651
35,FR_NTR1_C0_M_TARSUS_4.tif,94.826
36,FR_NTR1_C0_M_TARSUS_5.tif,98.02
37,FR_NTR1_C0_M_TARSUS_6.tif,94.594
38,FR_NTR1_C0_M_TARSUS_7.tif,100.767
39,FR_NTR1_C0_M_TARSUS_8.tif,98.509
40,FR_NTR1_C0_M_TARSUS_9.tif,3.162
21,FR_NTR1_C0_M_THORAX_1.tif,516.124
22,FR_NTR1_C0_M_THORAX_10.tif,509.098
23,FR_NTR1_C0_M_THORAX_11.tif,513.63
24,FR_NTR1_C0_M_THORAX_12.tif,512.228
25,FR_NTR1_C0_M_THORAX_13.tif,520.024
26,FR_NTR1_C0_M_THORAX_14.tif,503.302
27,FR_NTR1_C0_M_THORAX_15.tif,525.422
28,FR_NTR1_C0_M_THORAX_16.tif,499.365
29,FR_NTR1_C0_M_THORAX_17.tif,505
30,FR_NTR1_C0_M_THORAX_18.tif,534.453
31,FR_NTR1_C0_M_THORAX_19.tif,519.163
32,FR_NTR1_C0_M_THORAX_2.tif,512.486
33,FR_NTR1_C0_M_THORAX_20.tif,490.408
34,FR_NTR1_C0_M_THORAX_3.tif,516.887
35,FR_NTR1_C0_M_THORAX_4.tif,520.247
36,FR_NTR1_C0_M_THORAX_5.tif,517.32
37,FR_NTR1_C0_M_THORAX_6.tif,520.015
38,FR_NTR1_C0_M_THORAX_7.tif,521.046
39,FR_NTR1_C0_M_THORAX_8.tif,512.25
40,FR_NTR1_C0_M_THORAX_9.tif,530.684
21,FR_NTR1_C0_M_TIBIA_1.tif,265.635
22,FR_NTR1_C0_M_TIBIA_10.tif,276.261
23,FR_NTR1_C0_M_TIBIA_11.tif,263.883
24,FR_NTR1_C0_M_TIBIA_12.tif,260.5
25,FR_NTR1_C0_M_TIBIA_13.tif,258.6
26,FR_NTR1_C0_M_TIBIA_14.tif,248.516
27,FR_NTR1_C0_M_TIBIA_15.tif,264.201
28,FR_NTR1_C0_M_TIBIA_16.tif,253.3
29,FR_NTR1_C0_M_TIBIA_17.tif,245.294
30,FR_NTR1_C0_M_TIBIA_18.tif,271.249
31,FR_NTR1_C0_M_TIBIA_19.tif,275.182
32,FR_NTR1_C0_M_TIBIA_2.tif,244.135
33,FR_NTR1_C0_M_TIBIA_20.tif,258.147
34,FR_NTR1_C0_M_TIBIA_3.tif,275.536
35,FR_NTR1_C0_M_TIBIA_4.tif,242.695
36,FR_NTR1_C0_M_TIBIA_5.tif,273.359
37,FR_NTR1_C0_M_TIBIA_6.tif,259.856
38,FR_NTR1_C0_M_TIBIA_7.tif,264.32
39,FR_NTR1_C0_M_TIBIA_8.tif,259.942
40,FR_NTR1_C0_M_TIBIA_9.tif,264.121
21,FR_NTR1_C0_M_WING_1.tif,1046.886
22,FR_NTR1_C0_M_WING_10.tif,1007.893
23,FR_NTR1_C0_M_WING_11.tif,1066.419
24,FR_NTR1_C0_M_WING_12.tif,1039.031
25,FR_NTR1_C0_M_WING_13.tif,1039.125
26,FR_NTR1_C0_M_WING_14.tif,1020.591
27,FR_NTR1_C0_M_WING_15.tif,1054.26
28,FR_NTR1_C0_M_WING_16.tif,1043.359
29,FR_NTR1_C0_M_WING_17.tif,1030.826
30,FR_NTR1_C0_M_WING_18.tif,1043.116
31,FR_NTR1_C0_M_WING_19.tif,1096.889
32,FR_NTR1_C0_M_WING_2.tif,1005.242
33,FR_NTR1_C0_M_WING_20.tif,1020.62
34,FR_NTR1_C0_M_WING_3.tif,1060.146
35,FR_NTR1_C0_M_WING_4.tif,1062.826
36,FR_NTR1_C0_M_WING_5.tif,1049.652
37,FR_NTR1_C0_M_WING_6.tif,1070.992
38,FR_NTR1_C0_M_WING_7.tif,1075.975
39,FR_NTR1_C0_M_WING_8.tif,1034.974
40,FR_NTR1_C0_M_WING_9.tif,1060.409
41,FR_NTR1_C1_F_FEMUR_1.tif,323.056
42,FR_NTR1_C1_F_FEMUR_10.tif,318.812
43,FR_NTR1_C1_F_FEMUR_11.tif,318.628
44,FR_NTR1_C1_F_FEMUR_12.tif,291.986
