"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"NT","1",1,"M","8",9.11780580970976,9.64079686398437,7.33374325222796,9.8141281497584,8.8656884677564,10.8776796976221,0.0579556604564715
"NT","1",1,"M","9",9.16443203785072,9.67703413650579,7.55351216497756,9.81613286750187,8.89935256673285,10.8967116916305,0.0599603781999445
"NT","1",2,"F","1",8.70007706018159,9.28894425949309,7.26148299198729,9.50550981266939,8.46283091918878,10.5688394398773,-0.250662676632537
"NT","1",2,"M","21",8.66645337353294,9.15108463921583,7.0852635750938,9.30552304999741,8.41235585934119,10.4352097323421,-0.450649439304517
"NT","1",2,"F","11",8.41005418066552,9.44170130100948,7.4151098908642,9.52555688459889,8.48075151267524,10.6905871017933,-0.230615604703036
"NT","1",2,"M","22",8.42573043000776,9.11486613127862,6.78021601981027,9.10027768019109,8.32770895488787,10.3082028504326,-0.655894809110841
"NT","1",2,"F","13",8.7806859123029,9.48140111061362,7.25808614791627,9.64886176479232,8.59393590352011,10.7659027487761,-0.10731072450961
"NT","1",2,"F","14",8.62592705337953,9.39285317379955,7.25424193125706,9.44740488574955,8.48262816500408,10.6529707022761,-0.308767603552377
"NT","1",2,"F","15",8.71662185790521,9.38383577489091,7.16838757865477,9.61952801426364,8.5106507641995,10.6718011594984,-0.136644475038288
"NT","1",2,"F","16",8.81751637387064,9.56473853456431,7.30718447717117,9.69070075467299,8.62323474705534,10.7977948857445,-0.0654717346289395
"NT","1",2,"F","17",NA,9.293531324713,7.13946469083953,9.30479345206638,8.43431211373215,NA,-0.451379037235544
"NT","1",2,"F","18",8.91176357300009,9.38544156629965,7.26687696858566,9.6750856875269,8.61950072357355,10.7179543602086,-0.0810868017750295
"NT","1",2,"F","19",8.78347769918179,9.45256141576534,7.21202570380451,9.58587491791424,8.47275217021509,10.759401686785,-0.170297571387685
"NT","1",2,"F","2",9.00595102440325,9.43785668276371,7.24551502019224,9.63602927826571,8.57108133579925,10.7416607922251,-0.12014321103622
"NT","1",2,"F","20",8.71908824899425,9.44156623689639,7.14336106935666,9.59967123962919,8.54493769533694,10.6800483872665,-0.156501249672736
"NT","1",2,"F","3",8.82982308101628,9.47142974406408,7.24215122652745,9.56110912901423,8.59319957588452,10.790989558169,-0.195063360287696
"NT","1",2,"F","4",8.64486846937182,9.40373329645869,6.94035042306375,9.55246904798406,8.47291077992534,10.6702837110621,-0.203703441317863
"NT","1",2,"F","5",8.61956894933084,9.42465704987515,7.21823831034633,9.52137836977954,8.47751794933261,10.6665524341039,-0.234794119522387
"NT","1",2,"F","6",8.97709832332363,9.4966554985868,7.25777057097597,9.69733553013283,8.71882078252229,10.8085132417151,-0.0588369591690938
"NT","1",2,"M","23",8.86436480975397,9.40185819640249,7.05074635366041,9.4803420781747,8.62225447954305,10.6191322487211,-0.275830411127227
"NT","1",2,"F","8",8.86109650840201,9.40337669978526,7.21553261374885,9.6659876977169,8.58880157874027,10.6716958783865,-0.0901847915850276
"NT","1",2,"F","9",8.76377756597845,9.44415726117678,6.93520672962552,9.54861512678461,8.45105549690852,10.6803656550359,-0.207557362517319
"NT","1",2,"M","1",8.78917250344159,9.45380940868753,7.11897421455087,9.50348895939998,8.52163029844217,10.644020187121,-0.252683529901951
"NT","1",2,"M","10",8.77546579337706,9.35242706632786,7.08403786941089,9.48096557436457,8.64313784687008,10.6475173958547,-0.275206914937353
"NT","1",2,"M","11",8.87236304006931,9.40575234773784,6.82738548242183,9.44871110759857,8.5914753774713,10.6589031382245,-0.307461381703353
"NT","1",2,"M","12",8.73363481124783,9.30043788961825,6.95021426131931,9.39822793366846,8.41888616029278,10.5525941189208,-0.357944555633468
"NT","1",2,"M","13",8.99885602018431,9.57066499497491,7.02518126334364,9.6972579552828,8.75461803854791,10.7507345035848,-0.0589145340191273
"NT","1",2,"M","14",8.77312467076846,9.29282558367877,6.70633493340185,9.34297492028752,8.47291077992534,10.5584673734142,-0.413197569014402
